;Ano_de_Fabricacion;Tasacion_millones;Marca_encoded;Numero_asientos;Monto_Total_miles;Numero_Cuota_Permiso
666;2021;6;42;5;1;0
667;2023;11;63;5;2;0
668;2018;6;19;5;0;1
669;2023;1;50;1;0;0
670;2018;3;38;2;0;1
671;2021;7;74;4;1;0
672;2021;7;86;4;1;0
673;2003;2;37;5;0;0
674;2014;5;91;5;1;0
675;2005;5;37;4;0;1
676;2013;3;19;5;0;0
677;2021;6;19;2;1;0
678;2018;9;109;5;2;0
679;2016;4;42;5;0;0
680;2013;4;54;5;0;0
681;2021;7;81;5;1;0
682;2023;2;50;2;0;0
683;2008;1;113;5;0;0
684;2005;2;99;4;0;0
685;2024;1;6;1;0;0
686;2013;2;19;5;0;0
687;1999;1;19;2;0;0
688;2001;1;21;5;0;0
689;2013;2;113;4;0;0
690;2016;3;19;5;0;0
691;2022;8;86;5;1;0
692;2020;14;54;3;3;0
693;2021;7;81;5;1;0
694;2022;10;86;5;2;0
695;2019;6;42;5;1;0
696;2018;5;113;5;1;0
697;2000;1;54;5;0;0
698;2011;5;54;5;1;0
699;2015;2;40;2;0;0
700;2022;12;16;7;2;0
701;2019;12;19;5;1;1
702;2015;3;16;4;0;0
703;2020;19;85;4;5;0
704;2016;2;113;4;0;0
705;2022;10;113;5;2;0
706;2020;15;62;5;3;0
707;2022;11;65;5;1;1
708;2023;12;86;5;2;0
709;2021;8;38;2;1;0
710;2019;7;86;4;1;0
711;2012;3;91;5;0;1
712;2006;2;54;4;0;0
713;2012;0;113;1;0;0
714;2012;3;123;5;0;0
715;2022;6;38;2;1;0
716;2017;5;19;4;1;0
717;2012;7;19;5;1;0
718;2023;9;54;5;1;0
719;2022;9;42;5;1;0
720;1999;1;91;5;0;0
721;2011;2;19;4;0;0
722;2018;11;123;5;2;0
723;2001;2;71;5;0;0
724;2012;2;19;5;0;1
725;2023;9;86;4;2;0
726;2017;1;50;1;0;0
727;2016;6;37;5;0;1
728;2015;3;91;5;0;0
729;1996;1;123;4;0;0
730;2023;8;116;5;1;0
731;2014;5;81;2;1;0
732;2018;4;54;5;0;0
733;2009;2;54;5;0;0
734;2013;10;85;4;2;0
735;2022;9;86;5;1;1
736;2018;5;32;5;1;0
737;2017;5;113;5;1;0
738;2019;6;19;5;1;0
739;2006;2;95;5;0;0
740;2021;6;19;2;1;0
741;2022;8;86;5;1;0
742;2011;3;99;4;0;0
743;1990;1;124;4;0;0
744;2016;5;48;1;1;0
745;2018;8;116;5;1;0
746;2014;7;54;5;1;0
747;2015;3;19;3;0;0
748;2015;4;116;5;0;0
749;2017;4;16;5;0;0
750;2018;10;54;2;2;0
751;2013;2;19;4;0;0
752;2019;9;109;4;1;0
753;2013;2;59;5;0;0
754;2022;11;86;5;1;1
755;2015;2;113;4;0;0
756;2019;14;54;12;3;0
757;2021;13;91;5;3;0
758;2014;4;19;5;0;0
759;2013;4;71;5;0;0
760;2014;2;19;5;0;0
761;2020;11;116;5;2;0
762;2025;16;16;7;4;0
763;2021;7;19;4;1;0
764;2011;2;16;2;0;0
765;2021;10;54;5;2;0
766;2021;6;74;4;1;0
767;2016;7;109;3;1;0
768;2023;15;59;5;2;1
769;2021;13;21;2;3;0
770;2024;16;63;5;4;0
771;2004;1;71;5;0;1
772;2010;4;71;5;0;0
773;2005;4;111;4;0;0
774;2019;7;95;5;1;1
775;2018;4;35;4;0;1
776;2019;8;95;3;1;0
777;2011;2;54;5;0;0
778;2005;2;116;3;0;0
779;2016;5;86;5;1;0
780;2023;12;109;5;2;0
781;2016;9;84;5;1;1
782;2015;4;113;4;0;0
783;2018;5;19;5;1;0
784;2023;8;19;5;1;1
785;2021;3;126;1;0;0
786;2009;3;37;5;0;0
787;2002;2;95;5;0;0
788;2006;2;116;4;0;0
789;2022;7;113;5;0;1
790;2015;5;19;4;1;0
791;1990;0;19;5;0;1
792;2024;15;83;7;3;0
793;2011;2;19;5;0;0
794;2020;6;86;5;1;0
795;2022;10;86;5;2;0
796;2019;10;95;5;2;0
797;2023;16;54;2;4;0
798;2014;3;16;4;0;0
799;2018;7;99;5;1;0
800;2011;2;19;4;0;0
801;2019;8;36;4;1;0
802;2019;5;16;4;1;0
803;2003;2;19;2;0;0
804;2019;3;5;2;0;0
805;2012;2;113;4;0;0
806;2019;9;59;5;1;0
807;2020;8;71;5;1;0
808;2023;8;19;5;1;0
809;2024;19;54;5;2;1
810;2019;8;95;2;1;0
811;2019;8;71;5;1;0
812;2017;9;54;5;1;1
813;2018;11;91;4;2;0
814;2013;4;91;4;0;0
815;2018;4;16;7;0;0
816;2010;4;50;5;0;0
817;2022;2;113;1;0;0
818;2010;3;84;4;0;0
819;2019;10;88;4;1;1
820;2015;8;54;5;1;0
821;2017;3;19;2;0;0
822;2015;2;19;2;0;0
823;2019;8;123;5;1;0
824;2017;4;54;4;0;0
825;2025;24;65;5;7;0
826;2017;10;54;2;1;1
827;2013;5;91;4;1;0
828;2021;5;38;5;0;1
829;2008;2;116;5;0;0
830;2023;1;126;2;0;0
831;2017;12;8;5;2;0
832;2012;7;19;5;1;0
833;2017;3;30;4;0;0
834;2020;14;88;4;3;0
835;2023;9;32;5;1;1
836;2017;5;29;5;1;0
837;2011;4;84;4;0;0
838;2016;4;59;4;0;0
839;2021;7;86;5;1;0
840;2014;7;54;5;1;0
841;2014;3;103;5;0;0
842;2019;5;59;5;1;0
843;2013;3;91;5;0;0
844;2005;2;113;5;0;0
845;2011;3;86;4;0;0
846;2017;4;19;5;0;0
847;2013;4;81;5;0;0
848;2000;1;71;5;0;0
849;2011;2;19;5;0;0
850;2017;8;50;5;1;0
851;2015;3;5;5;0;0
852;2022;10;86;5;1;1
853;2019;13;54;3;3;0
854;2011;5;109;5;1;0
855;2016;4;59;5;0;1
856;2007;2;99;5;0;0
857;2011;3;19;4;0;0
858;2014;8;123;5;1;1
859;2013;5;50;4;1;0
860;2013;2;19;4;0;0
861;2023;2;122;2;0;0
862;2014;6;54;3;1;0
863;2011;4;113;5;0;0
864;2019;9;86;4;1;1
865;2018;11;54;2;1;1
866;2019;14;99;1;3;0
867;2012;4;21;5;0;0
868;2019;8;81;5;1;0
869;2016;5;81;8;1;0
870;2012;4;81;5;0;0
871;2008;3;71;4;0;0
872;2022;11;54;5;1;1
873;2011;2;88;2;0;0
874;2020;6;19;5;1;0
875;2013;3;71;5;0;0
876;2017;9;113;5;1;0
877;2021;9;123;4;2;0
878;2011;7;109;4;1;0
879;2013;6;62;5;1;0
880;2015;3;54;5;0;0
881;2022;9;28;7;2;0
882;2021;9;5;4;1;0
883;2011;2;19;5;0;0
884;2013;3;54;5;0;0
885;2019;8;19;5;1;1
886;2013;3;91;5;0;0
887;2017;4;113;5;0;0
888;2024;45;19;5;16;0
889;1998;1;99;4;0;0
890;2007;2;95;5;0;0
891;2005;2;116;5;0;0
892;2019;9;95;5;1;0
893;2017;3;19;5;0;0
894;2022;9;113;5;1;1
895;2017;6;71;5;1;0
896;2004;3;54;7;0;1
897;2021;7;81;5;1;0
898;2020;5;113;4;1;0
899;2012;2;19;5;0;0
900;2019;10;109;5;2;0
901;2018;7;113;5;1;0
902;2013;3;91;5;0;0
903;2022;14;88;5;3;0
904;2020;10;109;5;2;0
905;2022;12;19;4;1;1
906;1998;1;54;5;0;0
907;2022;6;30;4;1;0
908;2021;8;99;4;1;0
909;2024;13;86;4;3;0
910;2017;4;59;5;0;0
911;2015;4;42;5;0;0
912;2009;2;88;2;0;0
913;2009;2;19;4;0;0
914;2014;6;88;5;1;0
915;2013;2;54;5;0;0
